"Module version","Modulversion"
"API login","API-Anmeldung"
"API Password:","API-Passwort:"
"Your username to use API","Dit brugernavn for at bruge API"
"Your password to use API","Dit brugernavn for at bruge API"
"Produktion URL","Produktion URL"
"Test connection","Testfor bindelse"
"Can we connect to Altapay","Kan vi forbinde til Altapay"
"Test authentication","Test autentificering"
"Kan vi autentificere til Altapay - Husk at gemme efter at du har indtastet dit API login og password","Kan vi autentificere til Altapay - Husk at gemme efter at du har indtastet dit API login og password"
"Order status","Ordrestatus"
"Order status - before payment","Ordrestatus - før betaling"
"The status on the order before payment (if the user closes the browser inside the payment windows, the order will have this status)","Status på ordre før betaling (hvis brugeren lukker ned for browseren i betalingsvinduet, ordren vil have følgende status)"
"Order status - after payment","Ordrestatus - efter betaling"
"The status on the order after payment is approved","Status på ordre efter betaling er godkendt"
"Order status - Fraud detected","Ordrestatus - Svindel opdaget""       "
"The status on the order if fraud is detected","Status på ordre hvis svindel er opdaget"
"Order status - cancel","Ordrestatus - annuller"
"The status on the order if a user cancel the order in the payment window","Status på ordre hvis bruger annullere ordren i betalingsvindue"
"Terminal #1","Terminal #1"
"Terminal #2","Terminal #2"
"Terminal #3","Terminal #3"
"Terminal #4","Terminal #4"
"Terminal #5","Terminal #5"
"Title","Titel"
"Terminal name","Terminal navn"
"Select terminal - Remember to save configuration after you have added your API login and password, to get your terminals","Vælg terminal  - Husk at gemme konfigureringen efter at du har tilføjet API login samt password, for at få dine terminaler"
"Force language","Fremtving sprog"
"Force the language of the payment page","Fremtving betalingssidens sprog"
"Auto capture","Automatisk capture"
"If you only sell download products, which are delivered immediately you can turn this on","Hvis du kun sælger produkter som kan dowloades, og som leveres omgående, kan du slå denne til""  "
"Gateway version","Gateway version"
"Reset","Nulstil"
"Logs","Log"
"Enable","Aktiver"
"Disable","Deaktiver"
"French","Fransk"
"German","Tysk"
"English","Engelsk"
"Spanish","Spansk"
"Chinese","Kinesisk"
"Italian","Italiensk"
"Japanese","Japansk"
"Portuguese","Portugisisk"
"Dutch","Nederlandsk"
"Swedish","Svensk"
"Russian","Russisk"
"Polish","Polsk"
"Turkish","Tyrkisk"
"Available languages","Tilgængelige sprog"
"ALL","ALLE"
"Method title","Metode titel"
"Yes","Ja"
"No","Nej"
"Sort order","Sorter ordre"
"Restrict to some countries","Begræns til nogle lande"
"All Allowed Countries","Alle tilladte lande"
"Specific Countries","Bestemte lande"
"Product page","Produkt side"
"Cart page","Cart side"
"Payment Method","Betalingsmetode"
"Amount","Beløb"
"Email","E-mail"
"First Name","Fornavn"
"Last Name","Efternavn"
"Address","Adresse"
"Postcode","Postnummer"
"City","By"
"Country","Land"
"Please wait","Please wait"
"OKAY","OKAY"
"Redirected to Altapay - Payment request ID","Omdirigeret til Altapay - Betalingsanmodnings-id"
"Notification callback from Altapay","Meddelelse tilbagekald fra Altapay"
"Altapay - Consumer has canceled the payment","Altapay - Forbruger har annulleret betalingen"
"Card declined, consumer redirected to the payment form","Kortet blev afvist, forbrugeren blev omdirigeret til betalingsformularen"
"Card declined, consumer redirected to the payment section","Kortet blev afvist, forbrugeren blev omdirigeret til betalingsafsnittet",
"Altapay - Consumer has tried to pay but the payment failed","Altapay - Forbruger har forsøgt at betale, men betalingen mislykkedes"
"Payment is completed","Betalingen er afsluttet"
"OK callback from Altapay","OK callback from Altapay"
"Payment failed! Consumer has pressed the back button from the payment page.","Betaling mislykkedes! Forbruger har trykket på knappen Tilbage fra betalingssiden."
"error","fejl"
"success","success"
"Could not authenticate with API","Kunne ikke godkendes med API"
"error occured","fejl opstod"
"Payment failed due to the browser back button usage!","Betaling mislykkedes på grund af brug af browserns tilbageknap!"
